INVENTAIRE UNIFIÉ DES SOURCES DE VEILLE (MALI),,,,,,,,,,
Instructions Scraper : Filtrer sur 'Statut Technique' = 'ACTIF_200' (requête standard) et 'ACTIF_403' (requête avec contournement anti-bot).,,,,,,,,,,
,,,,,,,,,,
ID Source,Organisme/Site,Catégorie d'Origine,Sous-Catégorie,Type d'Offre,URL,Statut Visuel,Statut Technique,Type Scraper,Fréquence,Description / Notes
SRC_001,APEJ - Agence pour la Promotion de l'Emploi des Jeunes,Institutions publiques,Institution publique,"Emploi, stage, formation, financement",https://apej.ml,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,"Canal n°1 jeunes : stages formation/qualification, apprentissage, financement projets, HIMO, opérateur PEJ."
SRC_002,"Ministère du Travail, de la Fonction Publique et du Dialogue Social",Institutions publiques,Ministère,Concours / recrutement,http://www.fonctionpublique.gouv.ml,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,"Concours Fonction Publique, recrutement agents de l'État."
SRC_003,Primature / Premier Ministère,Institutions publiques,Gouvernement,Institutionnel,http://primature.gouv.ml,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,"Communiqués Conseil des Ministres, nominations."
SRC_004,Portail Info-Gouvernement,Institutions publiques,Gouvernement,Institutionnel,https://gouvernement.ml,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,Annonces officielles de l'État.
SRC_005,ANPE - Agence Nationale pour l'Emploi,Institutions publiques,Institution publique,"Emploi, stage",https://www.anpe-mali.org,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,"Moteur d'offres : CDD/CDI/intérim/stage, par région. À confirmer officiel."
SRC_006,CMSS - Caisse Malienne de Sécurité Sociale,Institutions publiques,Établissement public,Concours / recrutement,http://www.cmss.ml,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,Avis de concours/recrutement de personnel.
SRC_007,USSGB - Université Sciences Sociales & Gestion de Bamako,Institutions publiques,Université,"Formation, concours",http://www.u-bamako.ml,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,"Concours d'entrée, recrutement enseignants."
SRC_008,ENI-ABT - École Nationale d'Ingénieurs,Institutions publiques,École publique,"Formation, concours",http://www.eni-abt.ml,✅ Actif (200),ACTIF_200,API_OU_DOM_MONITOR,QUOTIDIEN,"Concours d'entrée, formation ingénieurs."
SRC_009,FAFPA - Fonds Appui Formation Professionnelle,Institutions publiques,Fonds publ.,Formation / apprentissage,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,Aucun site officiel en ligne ; publie via presse/Facebook. 🔴 fafpamali.com = casino.
SRC_010,MEFP - Ministère Emploi & Formation Professionnelle,Institutions publiques,Ministère,"Emploi, formation",-,🔴 Piège/Squat - à écarter,SQUAT,NON_CONFIGURÉ,AUCUNE,mefp.gouv.ml / mef.gouv.ml = parking. Sans site fiable.
SRC_011,ONFP / Direction Formation Professionnelle,Institutions publiques,Organisme publ.,Formation,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,"onfp.ml, insfp.ml injoignables."
SRC_012,INPS - Institut National de Prévoyance Sociale,Institutions publiques,Établissement publ.,Concours / recrutement,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,inps.ml injoignable.
SRC_013,DGMP - Marchés publics,Institutions publiques,Organisme publ.,Appels d'offres,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,marches-publics.ml injoignable.
SRC_014,BCM - Banque Centrale du Mali,Institutions publiques,Banque centrale,Concours / recrutement,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,bcm.ml injoignable.
SRC_015,IPR/IFRA - Institut Polytechnique Rural,Institutions publiques,École / institut,Formation,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,ipr-ifra.ml injoignable.
SRC_016,Agence Entreprendre / Fonds financement / CNJ / ONPE-OSPE,Institutions publiques,Divers publics,Emploi / formation,-,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,Pas de site en ligne.
SRC_017,Mali Travail,Plateformes & presse,Job board,Emploi/stage,https://malitravail.net,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Plateforme dédiée 'Trouvez votre emploi au Mali'.
SRC_018,Malipages,Plateformes & presse,Job board,Emploi/AO/annuaire,https://malipages.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Emploi, Appels d'Offres, annuaire entreprises."
SRC_019,Jobena,Plateformes & presse,Job board,Emploi,https://jobena.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Offres d'emploi Mali/Afrique francophone.
SRC_020,Emploi Mali,Plateformes & presse,Job board,Emploi,https://emploimali.com,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Portail d'offres d'emploi au Mali.
SRC_021,Maliactu (+ rubrique Emploi),Plateformes & presse,Presse,Emploi/concours/bourses,https://maliactu.net,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Rubrique Emploi active et très suivie.
SRC_022,Bamada.net,Plateformes & presse,Presse,Emploi/insertion,https://bamada.net,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Actualités emploi/insertion professionnelle.
SRC_023,Malijet,Plateformes & presse,Presse,Emploi,https://malijet.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Actualités du Mali (sujets emploi).
SRC_024,Maliweb,Plateformes & presse,Presse,Concours/bourses/recrutements,https://maliweb.net,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,"Annonces concours, bourses, recrutements."
SRC_025,Malikounda,Plateformes & presse,Presse,Emploi,https://malikounda.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Actualités générales/emploi.
SRC_026,Mali24 Info,Plateformes & presse,Presse,Emploi,https://mali24.info,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Actualités.
SRC_027,MaliBusiness,Plateformes & presse,Presse éco,Emploi/éco,https://malibusiness.com,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Infos éco/entreprises.
SRC_028,Afribone,Plateformes & presse,Presse,Emploi,https://afribone.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Actualités du Mali.
SRC_029,L'Essor (Journal Officiel/média d'État),Plateformes & presse,Presse,Concours Fonction Publique,-,🔎 Non vérifiable (login requis),NON_VERIFIABLE,NON_CONFIGURÉ,AUCUNE,Concours/annonces officielles (source veille).
SRC_030,Africajob,Plateformes & presse,Portail panafricain,Emploi,https://www.africajob.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,"Offres Afrique francophone, filtre Mali."
SRC_032,Go Africa Online,Plateformes & presse,Réseau business,Emploi/annuaire,https://www.goafricaonline.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Annuaire entreprises + offres Afrique.
SRC_033,Emploi.ci,Plateformes & presse,Portail régional,Emploi (UEMOA),https://www.emploi.ci,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Portée régionale UEMOA.
SRC_034,Talent2Africa,Plateformes & presse,Cabinet recrutement,Recrutement,https://www.talent2africa.com,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Conseil en recrutement Afrique.
SRC_035,Afrik.com,Plateformes & presse,Presse panafricaine,Emploi,https://www.afrik.com/emploi,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Actualités + offres Afrique.
SRC_036,Koaci,Plateformes & presse,Presse panafricaine,Emploi,https://koaci.com,❌ Inaccessible,INACCESSIBLE,NON_CONFIGURÉ,AUCUNE,Répond mais instable (50x).
SRC_037,ReliefWeb (ONU/OCHA),Plateformes & presse,Agrégateur,Emploi humanitaire,https://reliefweb.int/jobs,✅ Actif (200),ACTIF_200,HTML_GENERIC_PARSER,QUOTIDIEN,Offres humanitaires couvrant le Mali.
SRC_038,UNjobs.org - Bamako,Plateformes & presse,Agrégateur ONU,Emploi/stage ONU,https://unjobs.org/duty_stations/bamako,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Postes/stages ONU à Bamako.
SRC_039,Devex,Plateformes & presse,Portail développement,Emploi développement,https://www.devex.com/jobs,⚠️ Actif (403 anti-bot),ACTIF_403,PLAYWRIGHT_RESIDENTIAL,QUOTIDIEN,Plateforme secteur développement.
